date,faboo_non_cumulative,faboo_cumulative,daddy_non_cumulative,daddy_cumulative,avg_goal_non_cumulative,avg_goal_cumulative,faboo_custom_goal_non_cumulative,faboo_custom_goal_cumulative,daddy_custom_goal_non_cumulative,daddy_custom_goal_cumulative
30-Mar-21,0,0,0,0,20000,20000,0,0,0,0
31-Mar-21,14862,14862,19618,19618,20000,40000,14862,14862,19618,19618
01-Apr-21,21099,35961,19264,38882,20000,60000,21099,35961,19264,38882
02-Apr-21,22203,58164,20181,59063,20000,80000,22203,58164,20181,59063
03-Apr-21,20728,78892,20262,79325,20000,100000,20728,78892,20262,79325
04-Apr-21,7323,86215,0,79325,20000,120000,7323,86215,0,79325
5-Apr-21,6775,92990,0,79325,20000,140000,6775,92990,0,79325
6-Apr-21,20681,113671,38398,117723,20000,160000,20681,113671,38398,117723
07-Apr-21,,,,,20000,180000,20986,134657,20900,138623
08-Apr-21,,,,,20000,200000,20986,155642,20900,159522
09-Apr-21,,,,,20000,220000,20986,176628,20900,180422
10-Apr-21,,,,,20000,240000,20986,197614,20900,201321
11-Apr-21,,,,,20000,260000,20986,218600,20900,222221
